Serial Number,Company Name,Employee Markme,Description,Leave
148,Abstract,Tressie,joinmosaic,2
149,LaunchDarkly,Jim Andrson,allganize,6
150,Kato,Harvey,abstractcre,1
151,Flipcause,KELLY,oncue,7
152,L&T,Myrtle,unagiscooters,8
153,Nearby,Adolphus,kindwhale,6
154,Design Action Collective,David,polysign,6
155,HCL,Rebecca,IT Company,4
156,Oracle,Ernest,kbcstaffing,3
157,DeepMedia AI,Emmie,storytellerhq,5
158,Mailchimp,Myrtle,21tech,2
159,Simple But Needed Inc.,James,swingtalent,0
160,Comfy,Nellie,bodega,4
161,SnapStrat Inc.,Gennie,meruscase,8
162,lvl Analytics,Hanary,taote.shop,4
163,Pine Park Health,Ralph,World IT,9
164,Vi Bryant,Lucinda,postly,0
165,Merus,Dovie,frontleaf,0
166,Revitalize Venture Studio,Goldie,fieldphone,0
167,Hingeto,Jimmy,coreloop,8
168,Beezwax,Tressie,www.gtwy,2
169,tEQuitable,Dinesh David,appsmyth,2
170,Stockwell Inc.,Corine,www.hoodincubator,6
171,Skilltapp Inc.,KELLY,targetx,2
172,yozio,David,propellerlabs,1
173,Joro,Richard,relasosales-crm,8
174,Turnitin,Mamie,vivun,6
175,Mayvenn,Ray,yarden.garden,9
176,Chargehound,Lassie,taote.shop,7
177,Unionforce,Elsie,rxredefined,6
178,Huue,Corine,buildsite,3
179,GE,Rachel,crescendoapp,4
180,Apple,Ray,servant,8
181,Qwasar Silicon valley,Estella,deepmedia,9
182,Pine Park Health,Ira,mmwd,4
183,Liferaft,Lenora,postly,7
184,Fluid,Lillian,glassbreakers,7
185,Baowu,Cleo,spinwheel,3
186,Dotshop,Jeanette,sparkart,4
187,Marqeta,Ellen,ceresimaging,5
188,Trellis,Marion,nearbyhq,9
189,Manhattan,Mamie,grasshopperkiosks,5
190,UHG,Bettie,www.beezwax,5
191,Oncue,James,givemomentum,5
192,GE,Porter,yunithome,8
193,Flipcause,Gennie,glancepoint,9
194,Merus,Louis,sependa,3
195,Binti,Gerald,kbcstaffing,2
196,Bloom,Davin,pineparkhealth,3
197,Koya Medical,Jimmy,fabricgenomics,4
198,Design Action Collective,Dennis,ideabuilder,4
199,Samsung,Josie,mct,2
200,Chemistry,Goldie,enwoven,9
201,Skyloom Global,Ralph,www.boxbot,1
202,Micromax,Liza,choosefluid,5
203,Core Loop Games,Rachel,broadly,7
204,Vidado,Estella,www.boxbot,0
205,AppSmyth Inc.,Rosie,even,0
206,Comcate,Margie,hayden,7
207,Parsley Software,Rosie,mayvenn,5
208,Roofstock,Cleo,trychemistry,4
209,Fivetran,Olanga,glassbreakers,3
210,Resolve,Wilson,legalpassage,7
211,Kalabox,Dennis,kickstartcoding,3
212,Google,Tressie,manifold,2
213,Idea Builder,Jeanette,divineinterventures,4
214,Flipcause,Era,riffyn,3
215,Tech Liminal,Alfred,vertosa,2
216,Next Tech,Clyde,yozio,3
217,Tech Liminal,Mabel,gravitational,5
218,DeepMedia AI,Linnie,quosap,3
219,SPARKART GROUP INC,Julius,flipcause,8
220,Roofstock,Josie,stealthy,8
221,Axiom Cloud,Elsie,taote.shop,6
222,Idea Builder,Pinkie,enwoven,7
223,Storyteller,Clarence,mct,1
224,Radical Designs,Ossie,World IT,4
225,Shell,Alma,everlaw,2
226,LINQ Software,Anne,moonshotbrands,0
227,Baowu,Cleo,outlier,8
228,Gazprom,Jeanette, IT HUB,7
229,Micromax,Myrtis,aerialspac.es,2
230,WeDrop Software,Pearlie,polysign,9
231,21Tech,Davin,Information Technology,6
232,Ceres Imaging,King,illuminate,6
233,Pine Park Health,Bettie,babylist,3
234,Enwoven,Dinesh David,thecloroxcompany,5
235,Hewai,Myrtle, IT HUB,6
236,Fluid,Jim Andrson,vibryant,4
237,Pogo Financial,Simon,ideabuilder,1
238,Pogo Financial,Myrtle,sbnsoftware,2
239,amazon,Dovie,zorroa,0
240,Grasshopper Kiosks,Lucinda,marqeta,4
241,Propeller Labs,Laura,choosefluid,5
242,Mphasis,Elsie,thecloroxcompany,8
243,Google,Leslie,www.boxbot,4
244,Mainz Brady Group,Lillian,better,5
245,Qwasar Silicon valley,Emmie,kindwhale,4
246,CashBet,Hettie,manifold,3
247,Baowu,Sidney,pineparkhealth,5
248,Mynd,Louis,tradelanes,5
249,Boxbot,Porter,www.pandora,9
250,Radical Designs,Aline,allganize,2
251,LaunchDarkly,Era,exavault,6
252,SWIG,Sidney,comfyapp,5
253,Toole Design Group,Julius,specosystems,9
254,Broadly,Ernest,bigrunstudios,6
255,Skilltapp Inc.,Porter,next,7
256,Nana,Glennie,meruscase,5
257,Comcate,Pinkie,guideapp,8
258,FotoNotes,Jim Andrson,www.pandora,6
259,Legal Passage,Ralph,ratecred,6
260,Quosap,Mabel,broadly,5
261,Merus,William,ceresimaging,3
262,Dotshop,Harvey,frontleaf,6
263,Glassbreakers,Dave,bedrockanalytics,9
264,productboard,Rubie,www.npmjs,1
265,Vertosa,Liza,kindwhale,3
266,NanoVMs Inc,Simon,yunithome,4
267,Microsoft,Glennie,afriexapp,7
268,Abstract,Adolphus,choosefluid,9
269,Teech Mahindra,Ray,swig,7
270,Postly,Richard,joinmosaic,4
271,Baowu,Abbie,simpledynamics,7
272,Rx Redefined,Hettie,kalabox.kalamuna,8
273,npm,Glennie,oncue,6
274,Oracle,Louis,revitalizeventures,9
275,Oracle,Matrina,nana academy,7
276,Shiru,Rachel,abstractcre,4
277,Bloom,Joe,mbg,8
278,Outlier,Adolphus,swingtalent,8
279,Skyloom Global,Pinkie,koyamedical,5
280,Distru,Rachel,www.beezwax,5
281,TargetX,Exie,thecloroxcompany,7
282,Kato,Dovie,metritech,4
283,Yarden,Jeanette,www.kaporcenter,4
284,Skilltapp Inc.,Sachin,mynd,1
285,SUB4ME INC,Hanary,kickstartcoding,0
286,Flexi Network,Corine,productboard,1
287,Qwasar Silicon valley,Pinkie,schoolzilla,9
288,Teech Mahindra,Alfred,givemomentum,8
289,Kalabox,Green,www.gtwy,5
290,Comfy,Matrina,metritech,2
291,Google,David,taote.shop,9
292,Flexi Network,Julius,World IT,9
293,Frontleaf,Dessie,legalpassage,5
294,Mailchimp,Trudie,getthru,4
295,Customer Lobby,James,mct,2
296,Even,Myrtie,babylist,7
297,Propeller Labs,Hettie,palocolorado,9
298,Kaiser Permanente,Aline,britehub,8
299,Unchained Logistics,Lenora,IT Company,2
300,XQ Message,Fannie,dailykos,6
301,Financial Computer Support Inc.,Era,www.neyborly,9
302,Dotshop,Bettie,ceresimaging,0
303,Omicia,Katie,Technology,7
304,Servant,Lenora,chargehound,8
305,ExaVault,Marion,relasosales-crm,5
306,Omicia,Lucinda,parsleysoftware,6
307,The institute of research and ethics in technology,PETER,sub4.me,8
308,lvl Analytics,Louis,broadly,8
309,Core Loop Games,Simon,sependa,8
310,Roofstock,Alma,skillprint,3
311,Micromax,Ray,mynd,1
312,Babylist,Green,unionforce,9
313,LocusLabs Inc,Abbie,snapstrat,6
314,Huue,Rubie,kbcstaffing,0
315,Binti,Olanga,www.beezwax,3
316,Palo Colorado Software.,Ira,FOUNDATION,2
317,EFoundry Consulting,Myrtle,cashbet,1
318,Skillprint,PAUL,allganize,1
319,Design Action Collective,Dovie,propellerlabs,2
320,NOKIA,Barbara,helloresolve,7
321,Huue,Abbie,99designs,5
322,Pine Park Health,Rachel,mmwd,9
323,UHG,Bettie,viable.fit,4
324,GE,Gennie,vsco,0
325,Kickstart Coding,Ralph,mbg,3
326,Powered by Pennies,Margie,renewfinancial,4
327,Vi Bryant,Pinkie,chargehound,6
328,Nana,Sidney,relasosales-crm,1
329,Broadly,Jean,capology,7
330,Stockwell Inc.,Robert,kaiserpermanente,6
331,Allganize,Ralph,meruscase,8
332,Skyloom Global,Dave,joinmosaic,4
333,Unionforce,Ira,nana academy,4
334,Liferaft,Julius,breezy,7
335,Relaso - CRM for Magento E-Commerce,Ernest,tinctoriumbio,3
336,Mastek,William,metritech,3
337,Powerhouse,Olanga,kalabox.kalamuna,2
338,Qwasar Silicon valley,Fannie,lucidconnects,0
339,Microsoft,Alma,etrackerllc,8
340,Broadly,Iona,flypyka,4
341,q{Dev} LLC,Willie,roofstock,6
342,Microsoft,Ossie,designaction,4
343,SUB4ME INC,Vishwa,fieldphone,8
344,FotoNotes,Alma,sub4.me,0
345,Simple But Needed Inc.,Liza,tooledesign,0
346,Field Phone,Emmie,designaction,5
347,Abstract,Estella,cashbet,0
348,Breezy,Louis,vertosa,5
349,MMWD,Mamie,appsmyth,5
350,Manhattan,Pinkie,propellerlabs,9
351,Unagi Scooters,Thelma,givemomentum,0
352,Spinwheel,Ellen,specosystems,8
353,Glassbreakers,Lassie,wedrop,5
354,Servant,Jeanette,moonshotbrands,4
355,GE,KELLY,radicaldesigns,0
356,Next Tech,Ellen,joinmosaic,6
357,Babylist,Julius,dialed.space/works,1
358,Mphasis,Anne,dialed.space/works,3
359,Infosys,Alma,sbnsoftware,6
360,Micromax,Estella,lunaimaging,6
361,Etracker,King,proxifile,8
362,Skillprint,Iona,swingtalent,2
363,Oracle,Nellie,www.gtwy,7
364,The Clorox Company,Evelyn,theshoppad,8
365,Ceres Imaging,Rebecca,roofstock,5
366,AppSmyth Inc.,Pinkie,glancepoint,7
367,TradeLanes,Laura,britehub,2
368,Stockwell Inc.,Ralph,viable.fit,7
369,ShopPad,Gennie,propellerlabs,3
370,LINQ Software,Goldie,simpledynamics,3
371,Tech Liminal,Elsie,tinctoriumbio,5
372,Flo AI,Rubie,allganize,9
373,Huue,Maud,divineinterventures,9
374,Breezy,Hettie,revitalizeventures,8
375,Rockbot,Mamie,cashbet,8
376,Unagi Scooters,Lucinda,qwasar,6
377,CISCO,Abbie,viable.fit,6
378,Joro,Lenora,zonetap,4
379,SWIG,Cleo,kickstartcoding,8
380,Boxbot,Jimmy,Technology,2
381,Montclair Advisors LLC,Myrtle,aerialspac.es,5
382,Boxbot,Ralph,riffyn,7
383,LINQ Software,Rosie,www.askmediagroup,6
384,Trace Data,Dave,vsco,6
385,lvl Analytics,David,www.trellisgrows,8
386,Riffyn,Emmie,ceresimaging,4
387,Flipcause,Katie,21tech,5
388,TargetX,Richard,www.trellisgrows,2
389,Merus,Sarah,sub4.me,6
390,Apple,Green,tracedata,0
391,The Clorox Company,Ray,iogenesys,4
392,Storyteller,Lassie,binti,9
393,Design Action Collective,Harvey,riffyn,7
394,BKI Software Solutions,Iona,everlaw,0
395,Next Tech,David,meruscase,6
396,Vivun,Lenora,launchdarkly,3
397,Pine Park Health,Hettie,www.pandora,8
398,Pogo Financial,Ray,kaiserpermanente,4
399,JCP,Alfred,binti,5
400,AppSmyth Inc.,Gerald,flypyka,1
401,Comcate,David,marqeta,1
402,EFoundry Consulting,Warhol,liferaft,6
403,Angeloop Inc,Julius,metritech,1
404,Divine Interventures,PETER,everlaw,6
405,Samsung,Louis,oncue,0
406,Vi Bryant,Harvey,mmwd,2
407,Core Loop Games,Wilson,afriexapp,6
408,Illuminate Ventures,Gerald,www.neyborly,3
409,Toole Design Group,Vinnie,designaction,2
410,Design Action Collective,Dave,metritech,6
411,Montclair Advisors LLC,Katie,kickstartcoding,0
412,Litterati,Fannie,axiomcloud,8
413,Moonshot Brands,Elsie,angelloop,6
414,swiss,Vinnie,better,6
415,MCT CO,Willie,logistixsolutions,4
416,Kaiser Permanente,Rosie,skilltapp,2
417,JCP,Davin,tequitable,1
418,Spinwheel,William,guideapp,9
419,HCL,William,designaction,9
420,Spinwheel,Gordon,trychemistry,8
421,SPARKART GROUP INC,Alma,everlaw,4
422,Oyster,Annie,saferize,4
423,Field Phone,Edward,squadcast.fm,1
424,Google,Sidney,glassbreakers,7
425,Mosaic,Barbara,mailchimp,7
426,ENVision mobile,Maud,choosefluid,1
427,tEQuitable,Jimmy,ratecred,1
428,Skyloom Global,Era,fotonotes,0
429,Daily Kos,Ossie,bigrunstudios,6
430,Revitalize Venture Studio,Aline,squadcast.fm,9
431,Omicia,Matrina,iogenesys,3
432,MetriTech,Porter,marqeta,1
433,TradeLanes,RON,turnitin,7
434,Unchained Logistics,Fannie,litterati,6
435,Idea Builder,PAUL,next,3
436,LINQ Software,RON,IT Challange,6
437,The Hood Incubator,Adolphus,radicaldesigns,0
438,TargetX,Myrtle,techliminal,5
439,GetThru,Leslie,buildsite,8
440,Vivun,Emmett,www.neyborly,8
441,Breezy,Maud,allganize,3
442,AerialSpaces,Ernest,air-quest,8
443,swiss,Richard,kalabox.kalamuna,3
444,Omicia,Iona,everlaw,0
445,Pogo Financial,Josie,envisionmobile,9
446,Neyborly,Myrtle,swig,8
447,Teech Mahindra,Corine,coreloop,1
448,Google,Ernest,litterati,9
449,LocusLabs Inc,Liza,opalqsm,7
450,Trellis,Richard,kickstartcoding,4
451,Hayden AI,Bettie,deferpanic,1
452,Comcate,Hanary,relasosales-crm,5
453,ENVision mobile,Roshan,illuminate,2
454,Distru,Evelyn,locuslabs,6
455,Design Action Collective,Mabel,lucidconnects,5
456,Micromax,King,quosap,5
457,Relaso - CRM for Magento E-Commerce,Laura,cashbet,9
458,Chemistry,Exie,enwoven,1
459,FotoNotes,Clyde,productboard,7
460,Mosaic,Luke,afriexapp,9
461,LaunchDarkly,Louis,getthru,3
462,Divine Interventures,Sarah,tooledesign,9
463,Nearby,Gennie,IT Company,1
464,Capology,Ossie,gravitational,8
465,Bedrock Analytics,Vishwa,binti,0
466,SPARKART GROUP INC,Sachin,21tech,2
467,Next Tech,Gordon,fcsi,3
468,Servant,Louis,vivun,2
469,Kaiser Permanente,Myrtle,afriexapp,6
470,Resolve,Sarah,targetx,7
471,CrescendoApp.com,Myrtis,mmwd,9
472,BriteHub,Ellen,www.lendup,5
473,The institute of research and ethics in technology,Moses,bki,3
474,Teech Mahindra,William,deepmedia,9
475,lvl Analytics,Bettie,fieldphone,2
476,Logistix Solutions,Rubie,flo-ai,7
477,Distru,Roshan,aerialspac.es,9
478,Core Loop Games,Mamie,locuslabs,4
479,Turnitin,Adolphus,zorroa,9
480,Hewai,PETER,even,9
481,Vi Bryant,Harvey,logistixsolutions,7
482,RateCred,Warhol,unchainedlogistics,1
483,Everlaw,Alma,vidado,9
484,NOKIA,Abbie,swingtalent,7
485,ENVision mobile,Exie,tracedata,4
486,Flo AI,Dinesh David,flipcause,0
487,Moonshot Brands,Rubie,distru,3
488,Legal Passage,Rosie,bodega,4
489,Vivun,Wilson,comfyapp,4
490,HCL,Jean,outlier,3
491,NVIDIA,Elsie,bodega,7
492,Pine Park Health,Simon,meruscase,5
493,Outlier,Olanga,lunaimaging,8
494,Skillprint,Wilson,angelloop,9
495,Dotshop,Ernest,metritech,8
496,BuildSite,Hanary,abstractcre,3
497,Pine Park Health,Wilson,candlecrm,4
498,FotoNotes,Hollis,lvlanalytics,1
499,Fluid,Pinkie,unionforce,2
500,Comcate,Pearlie,stealthy,9
501,Etracker,Isaac,linqsoftware,7
502,Grasshopper Kiosks,Rebecca,IT Company,9
503,LendUp,David,vsco,2
504,JCP,Barbara,afriexapp,9
505,iO Genesys Inc.,Lassie,www.kaporcenter,3
506,Core Loop Games,Rubie,ratecred,6
507,lvl Analytics,Edward,glassbreakers,0
508,AerialSpaces,PETER,flo-ai,8
509,Angeloop Inc,Sidney,kalabox.kalamuna,2
510,Accenture,Goldie,trychemistry,0
511,SwingSearch,Julius,deferpanic,1
512,ShopPad,Elsie,99designs,8
513,21Tech,Lenora,guideapp,7
514,Litterati,Lillian,bodega,7
515,Zonetap,Hollis,palocolorado,1
516,Gazprom,Nellie,logistixsolutions,1
517,Bloom,Clarence,bigrunstudios,1
518,Unchained Logistics,Dessie,mayvenn,4
519,Even,Leslie,etrackerllc,4
520,Flipcause,Mamie,everlaw,3
521,Nana,Rosie,flipcause,1
522,Bedrock Analytics,Vishwa,zorroa,5
523,Pyka,Moses,everlaw,4
524,FotoNotes,Ray,quosap,0
525,JCP,Wilson,FOUNDATION,4
526,Revitalize Venture Studio,PAUL,oncue,3
527,Flexi Network,Pinkie,skillprint,9
528,iO Genesys Inc.,Marion,swig,3
529,Outlier,David,candlecrm,2
530,Enwoven,Porter, IT HUB,4
531,Montclair Advisors LLC,Abbie,proxifile,0
532,Oyster,Gerald,meruscase,0
533,Zensar,Vinnie,postly,9
534,KBC Staffing,Julius,babylist,3
535,Oracle,Clarence,roofstock,2
536,SUB4ME INC,Liza,vibryant,4
537,21Tech,Mabel,hayden,0
538,Pyka,Joe,appsmyth,8
539,Accenture,Sarah,binti,2
540,Liferaft,Jeanette,riffyn,2
541,Omicia,Leslie,qdev,8
542,Microsoft,Lillian,www.hoodincubator,5
543,NVIDIA,Pearlie,broadly,7
544,Shared Process Ecosystems,Myrtle,roofstock,3
545,Kaiser Permanente,Rebecca,skyloom,1
546,Abstract,Moses,hayden,9
547,Nana,Gordon,servant,6
548,Illuminate Ventures,Luke,renewfinancial,9
549,Shiru,William,fotonotes,2
550,Fivetran,Tommy,divineinterventures,9
551,Axiom Cloud,PAUL,joinbloommunity,9
552,Comcate,Green,sbnsoftware,9
553,Breezy,Lorraine,linqsoftware,5
554,SnapStrat Inc.,Julius,choosefluid,4
555,TradeLanes,Tommy,everlaw,0
